Keyword,Attribute,Actual Attribute,Pros,Cons
delivered,timely,Quick,Quick Delivery,Delayed Delivery
storage,internal,internal,good internal memory,low internal memory
image,outdoor,outdoor,Day light picture quality is superb,day light picture quality is poor
light,Low,Low,Low light performance is cool,Low light image quality is poor
cheap,good,good,It's worth the price,It's not worth the price
light,Low,Low,Low light performance is cool,Low light image quality is poor
connectivity,3G,3G,Speed in 3G browsing is good,Speed in 3G browsing is not good
connectivity,speed,Fast,Internet speed is good,Browsing is slow
Apps,cannot,cannot,Apps run smoothly,Apps don't run smoothly and hangs
charging,lasting,lasts,Good battery Life,Poor battery life
charging,lasting,lasts,Good battery Life,Poor battery life
charging,lasting,lasts,Good battery Life,Poor battery life
Design,nice,nice,Awesome looks and design,Design and looks not good
light,Low,Low,Low light performance is cool,Low light image quality is poor
clarity,Voice,Sound,,
sound,Decent,,Good sound quality,Poor sound quality
durable,not,Durable,Good body built quality,Body built not good
picture,Stunning,Stunning,Camera and picture quality is good,Camera and picture quality is poor
features,Media,Media,,
connectivity,Rich,Rich,No issues in browsing and internet connectivity,Browsing and connectivity problems
image,Stunning,Quality,Camera and picture quality is good,Camera and picture quality is poor
charging,no,no,Quick charging,Charging issues
charging,problem,problem,Quick charging,Charging issues
video,Screen,,Smooth and clear  video recording quality ,Video recording quality not good
lag,Hang,Hang,No lagging problem,Phone lags
lag,no,no,No lagging problem,Phone lags
stylish,Colour,Color,Stylish,Not so stylish
charging,Hot,heat,No heating issues,Battery gets overheated
picture,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
headphone,Less,Less,Earphone Sound quality is superb,Earphone sound quality is poor
lag,hang,Hang,No lagging problem,Phone lags
lag,no,no,No lagging problem,Phone lags
games,Lagged,lags,No hanging while gaming,Hangs while playing games
hardware,Packed,Packed,,
games,Hotter,heat,No heating issue while gaming,Phone gets heated while gaming
lag,never,no,No lagging problem,Phone lags
internal,Low,low,,Low internal memory space
lag,without,no,No lagging problem,Phone lags
internal,Low,low,,Low internal memory space
Price,Right,Worthy,It's worth the price,It's not worth the price
internal,Low,low,,Low internal memory space
lag,no,no,No lagging problem,Phone lags
fast,Processor,Processor,Processor,Processor
sound,Iconic,,Good sound quality,Poor sound quality
clarity,Voice,Sound,,
cheap,Pricing,Price,It's worth the price,It's not worth the price
cheap,good,good,It's worth the price,It's not worth the price
online,Cheapest,,,
surfing,Fast,Fast,Internet speed is good,Browsing is slow
memory ,Slot,Slot,Slot,Slot
lag,without,no,No lagging problem,Phone lags
internal,Apps,Apps,Apps,Apps
internal,SD card,SD card,SD card,SD card
memory ,Apps,Apps,Apps,Apps
memory ,SD card,SD card,SD card,SD card
touch,Capacitive,Capacitive,Capacitive touch is great,Capacitive touch is slow
storage,Inbuilt,internal,good internal memory,low internal memory
video,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
memory ,microSD,microSD,microSD,microSD
memory ,Storage,space,space,space
gaming,Lagging,lags,No hanging while gaming,Hangs while playing games
lag,without,no,No lagging problem,Phone lags
budget,avg,Price,It's worth the price,It's not worth the price
headphone,Noise,Noise,Earphone Sound quality is superb,Earphone sound quality is poor
video,Pixel,,Smooth and clear  video recording quality ,Video recording quality not good
storage,Expandable,Expandabale,Expandabale,Expandabale
stylish,Look,Look,Stylish,Not so stylish
durable,Strong,Durable,Good body built quality,Body built not good
video,Amazing,,Smooth and clear  video recording quality ,Video recording quality not good
snapdeal,Experience,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
expandable,only,only,,
sound,Superior,,Good sound quality,Poor sound quality
heavy,Lasts,Lasts,,
gaming,RAM,RAM,Ram and internal memory sufficient for gaming,Ram and memory inadequate for heavy games
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
image,Vibrant,Vibrant,Camera and picture quality is good,Camera and picture quality is poor
image,Sharper,Sharper,Camera and picture quality is good,Camera and picture quality is poor
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
UI,Smooth,Smooth,Highly responsive and smooth UI,UI is not responsive and smooth
UI,Sluggish,Slow,Highly responsive and smooth UI,UI is not responsive and smooth
speakers,Music,Music,Good sound quality,Poor sound quality
service,Foreign,,,
storage,Internal,internal,good internal memory,low internal memory
memory ,Internal,Internal,Nice internal memory,Low internal memory space
Bluetooth,Connectivity,Fast,Fast bluetooth sharing,Bluetooth range and sharing is slow
connectivity,good,good,No issues in browsing and internet connectivity,Browsing and connectivity problems
features,Shutter ,Shutter ,,
video,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,VGA,,,
storage,Inbuilt,internal,good internal memory,low internal memory
video,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
sensor,Accelerometer,Accelerometer,Accelerometer,Accelerometer
music,Walkman,Walkman,Walkman,NFC
sound,Dazzling,,Good sound quality,Exmor
touch,Soft,,"Touch screen is smooth,fast and sensitive",Exmor
interface,Touch,Touch,UI is simple and smooth,UI is complicated and not smooth
touch,Slow,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
lag,no,no,No lagging problem,Phone lags
touch,Lag,lag,Touch screen has no lag,Touch screen has lags and hangs
Camera,5MP,5MP,,
lag,any,any,No lagging problem,Phone lags
lag,any,any,No lagging problem,Phone lags
video,Camera,,Smooth and clear  video recording quality ,Video recording quality not good
budget,Limited,Low,It's worth the price,It's not worth the price
Game,Performance,performance,Excellent for gaming,Not good for gaming
Flash,Quality,Quality,Flash performance is good,Poor flash quality
interface,MicroUSB,MicroUSB,,
memory ,Card,Card,Card,Card
memory ,Internal,Internal,Nice internal memory,Low internal memory space
budget,best,Price,It's worth the price,It's not worth the price
touch,Feel,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
light,Low,Low,Low light performance is cool,Low light image quality is poor
performance,RAM,RAM,RAM,RAM
light,Low,Low,Low light performance is cool,Low light image quality is poor
lag,no,no,No lagging problem,Phone lags
Display,good,good,Suberb display clarity,Display quality not good
Camera,poor,poor,Camera and picture quality is good,Camera and picture quality is poor
lag,Playing,Playing,No lag issue while gaming,Phone lags while gaming
lag,without,no,No lagging problem,Phone lags
Camera,disappointed,disappointed,Camera and picture quality is good,Camera and picture quality is poor
applications,support,Support,Apps run smoothly,Apps don't run smoothly and hangs
lag,without,no,No lagging problem,Phone lags
internal,Low,low,,Low internal memory space
memory ,Low,Less,,Low memory space
memory ,Internal,Internal,Nice internal memory,Low internal memory space
Apps,move,Move,Apps can be moved to external memory,Apps cant be moved to external memory
Apps,cant,cant,Apps run smoothly,Apps don't run smoothly and hangs
video,Hot,Heated,No heating issues,Phone gets heated while playing videos
applications,not,Lag,Apps run smoothly,Apps don't run smoothly and hangs
applications,move,,Apps run smoothly,Apps don't run smoothly and hangs
memory ,Applications,Applications,Applications,Applications
smooth ,Display,Display,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Camera,Cons,Cons,Camera and picture quality is good,Camera and picture quality is poor
storage,Quality,,,
Camera,Cons,Cons,Camera and picture quality is good,Camera and picture quality is poor
clarity,Audio,Sound,,
performance,Decent,Smooth,Nice performance,
touch,Magic,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
software,Easy,,,
fast,Processor,Processor,Processor,Processor
internet,Fast,,Internet speed is good,Browsing is slow
budget,good,Price,It's worth the price,It's not worth the price
online,Trust,,,
memory ,Reasonable,sufficient,sufficient,sufficient
budget,good,Price,It's worth the price,It's not worth the price
lag,Performance,Performance,No lagging problem,Phone lags
lag,any,any,No lagging problem,Phone lags
image,Enhance,Enhance,Nice picture enhancements,Poor picture enhancements
games,Preloaded,Preloaded,Pre installed gaming apps are cool,Pre installed games are not good
music,Preloaded,Preloaded,Preloaded music is good,Preloaded music is poor
video,HDR,HDR mode,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,5MP,,Smooth and clear  video recording quality ,Video recording quality not good
video,Recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
clarity,5MP,5MP,Camera and picture quality is good,Camera and picture quality is poor
games,Heated,heat,No heating issue while gaming,Phone gets heated while gaming
games,High,High,Heavy games handled easily,Heavy games don't work properly
memory ,Apps,Apps,Apps,Apps
Ram,Fast,,,
Camera,5MP,5MP,,
picture,Flash,Flash,Flash performance is good,Poor flash quality
video,Detailed,,Smooth and clear  video recording quality ,Video recording quality not good
fast,NFC,NFC,,
light,Low,Low,Low light performance is cool,Low light image quality is poor
performance,Low light,Low light,Low light,Low light
performance,Battery,Battery,Battery,Battery
interface,Phone,Phone,,
back ,cannot,cannot,,
back ,open,open,,
sensor,NFC,NFC,NFC,NFC
video,HD ,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
snapdeal,Experience,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
fast,Drain,battery drains,,battery drains
body,Slim,slim,Sleek and slim,Heavy and big
lag,any,any,No lagging problem,Phone lags
games,Decent,Decent,Excellent for gaming,Not good for gaming
games,Graphics,Graphics,Super graphics,Graphics are not cool
video,HD ,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
music,xLoud,xLoud,xLoud,xLoud
music,Walkman,Walkman,Walkman,Walkman
features,Premium,Premium,,
sensor,Exmor,Exmor,Exmor,Exmor
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
clarity,Voice,Sound,,
sound,Enhances,Enhancement,Good sound quality,Poor sound quality
Price,Decent,Worthy,It's worth the price,It's not worth the price
clarity,doesn't,doesn't,Camera and picture quality is good,Camera and picture quality is poor
performance,Beast,Smooth,Nice performance,
performance,Processor,Processor,Processor,Processor
light,Low,Low,Low light performance is cool,Low light image quality is poor
hanging,Internally,Internally,No lagging problem,Phone lags
snapdeal,Shopping,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
games,Big,Big,Heavy games handled easily,Heavy games don't work properly
viewing,poor,,Good display viewing angles,Display Viewing angles is poor
Camera,Cons:,Cons:,Camera and picture quality is good,Camera and picture quality is poor
Design,amazing,amazing,Awesome looks and design,Design and looks not good
lag,no,no,No lagging problem,Phone lags
gaming,Adreno,Adreno,Adreno,Adreno
sensor,Exmor,Exmor,Exmor,Exmor
snapdeal,Delivery,Delivery,Quick Delivery,Delayed Delivery
fast,Draining,battery drains,,battery drains
games,Heated,heat,No heating issue while gaming,Phone gets heated while gaming
picture,Low light,Low light,Low light performance is cool,Low light image quality is poor
image,Clear,Quality,Camera and picture quality is good,Camera and picture quality is poor
touch,TFT,,,
touch,Capacitive,Capacitive,Capacitive touch is great,Capacitive touch is slow
touch,Multi,,,
image,Focus,Focus,Focus,Focus
image,Smile detection,Smile detection,Smile detection,Smile detection
touch,Geo tagging,,,
light,Low,Low,Low light performance is cool,Low light image quality is poor
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
budget,within,Price,It's worth the price,It's not worth the price
hangs,Dialling,Dialling,Phone never hangs during calling for long hours,Phone hangs while calling
light,Low,Low,Low light performance is cool,Low light image quality is poor
lag,Videos,Videos,No lag while watching videos,Lags during video watching
lag,little,little,No lagging problem,Phone lags
image,HD,HD,Camera and picture quality is good,Camera and picture quality is poor
image,Bravia,Bravia,Camera and picture quality is good,Camera and picture quality is poor
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,Bravia,,,
memory ,Internal ,Internal,Nice internal memory,Low internal memory space
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
light,Low,Low,Low light performance is cool,Low light image quality is poor
viewing,below-par,Terrible,Good display viewing angles,Display Viewing angles is poor
Camera,good,good,Camera and picture quality is good,Camera and picture quality is poor
lags,wihout,no,No lagging problem,Phone lags
lags,wihout,no,No lagging problem,Phone lags
lags,any,any,No lagging problem,Phone lags
lags,no,no,No lagging problem,Phone lags
lags,wihout,no,No lagging problem,Phone lags
lags,wihout,no,No lagging problem,Phone lags
lags,no,no,No lagging problem,Phone lags
lags,wihout,no,No lagging problem,Phone lags
lags,any,any,No lagging problem,Phone lags
lags,does not,no,No lagging problem,Phone lags
lags,little,little,No lagging problem,Phone lags
lags,without,no,No lagging problem,Phone lags
lag,without,no,No lagging problem,Phone lags
lag,without,no,No lagging problem,Phone lags
Bluetooth,share,Transfer,Fast bluetooth sharing,Bluetooth range and sharing is slow
delivered,service,service,Perfect product delivered,Defective product delivered
light,Low,Low,Low light performance is cool,Low light image quality is poor
service,android,,,
clarity,5MP,5MP,Camera and picture quality is good,Camera and picture quality is poor
lag,never,no,No lagging problem,Phone lags
windows,front camera,,,
interface,smooth,Smooth,UI is simple and smooth,UI is complicated and not smooth
Camera,great,great,Camera and picture quality is good,Camera and picture quality is poor
body,sturdy,Sturdy,Good body built quality,Body built not good
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
interface,clean,Smooth,UI is simple and smooth,UI is complicated and not smooth
lag,without,no,No lagging problem,Phone lags
software,nokia maps,,,
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
video,screen,,Smooth and clear  video recording quality ,Video recording quality not good
music,sound quality,Quality,Music sound quality is awesome,Music sound quality is poor
fast,GPS,GPS,GPS,GPS
applications,useful,,Apps run smoothly,Apps don't run smoothly and hangs
responsive,screen,Screen,Touch screen is highly sensitive and responsive,Touch is not sensitive 
budget,right,Price,It's worth the price,It's not worth the price
clarity,8inch,8inch,,
touch,capactive,Capacitive,Capacitive touch is great,Capacitive touch is slow
touch,8 inch,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
video,contrast,,Video brightness and colours are also good,Video brightness not so good
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
lens,digital,digital,Good lens quality,Poor lens quality
lens,autofocus,autofocus,Good Auto focus,Auto focus is poor
lens,digital,digital,Good lens quality,Poor lens quality
image,digital lens,digital lens,Good lens quality,Poor lens quality
Processor,1GHz,1 GHZ,1 GHZ,1 GHZ
Processor,dual core,dual core,dual core,dual core
Processor,snapdragon,snapdragon,snapdragon,snapdragon
applications,switching,,Apps run smoothly,Apps don't run smoothly and hangs
memory ,8GB,8 GB,8 GB,8 GB
storage,7GB,,,
storage,Skydrive,,,
affordable,price ,Price,It's worth the price,It's not worth the price
Display,LCD,LCD,Suberb display clarity,Display quality not good
image,animate,animate,Nice animations,Animations not cool
image,Cinemagraph,Cinemagraph,Cinemagraph,Cinemagraph
online,flipkart,,,
online,service,,,
Camera,nice,nice,Camera and picture quality is good,Camera and picture quality is poor
Camera,Pros,Pros,Camera and picture quality is good,Camera and picture quality is poor
sound,clear,Clarity,Good sound quality,Poor sound quality
video,lags,Lag ,No lag while watching videos,Lags during video watching
heavy,battery,battery,,battery drains heavily
Android,apps,Apps,Apps,Apps
Android,app store,Apps,Apps,Apps
Display,mindblowing,mindblowing,Suberb display clarity,Display quality not good
lag,does not,no,No lagging problem,Phone lags
games,512MB RAM,512MB RAM,Ram and internal memory sufficient for gaming,Ram and memory inadequate for heavy games
hardware,FM Radio,FM Radio,,
hangs,multi-tasking,multi-tasking,No lag while multitasking,Lags while multi tasking
heavy,battery,battery,,battery drains heavily
games,apps,apps,Pre installed gaming apps are cool,Pre installed games are not good
lag,no,no,No lagging problem,Phone lags
lag,without,no,No lagging problem,Phone lags
music,Nokia music,Nokia music,Nokia music feature is cool,Nokia music is not good
windows,interface,UI,UI,UI
windows,applications,applications,applications,applications
lag,no,no,No lagging problem,Phone lags
fast,super,super,,
windows,512MB RAM,,,
features,camera,camera,,
features,panaroma,Panaroma,Panaroma,Panaroma
features,smart shoot,smart shoot,,
memory ,8GB,8 GB,8 GB,8 GB
memory ,inbuilt,Internal,Nice internal memory,Low internal memory space
back ,awesome,awesome,Nice back panel,Back panel not good
Store,app,app,Loads of app in app store,Limited apps in app store
browsing,smooth,Fast,Internet speed is good,Browsing is slow
sound,speaker,Speaker,Good sound quality,Poor sound quality
music,bug,bug,Music app is cool,Music app is not good
music,nokia music,Nokia music,Nokia music feature is cool,Nokia music is not good
touch,speech system,,,
budget,good,Price,It's worth the price,It's not worth the price
sound,dolby,,Good sound quality,Poor sound quality
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
windows,stylish,stylish,stylish,stylish
UI,metro,metro,,
build,innovative,innovative,Good body built quality,Body built not good
sound,dolby digital,,Good sound quality,Poor sound quality
fast,charges,charging,charging,charging
fast,comparatively,comparatively,,
UI,metro,metro,,
video,pre-recorded,,,
browsing,battery,battery,No heating while browsing,Gets heated while browsing
performance,battery,Battery,Battery,Battery
build,good,Quality,Good body built quality,Body built not good
Battery,Great,Great,Good battery Life,Poor battery life
Battery,Long,Long,Good battery Life,Poor battery life
Battery,Long,Long,Good battery Life,Poor battery life
Battery,Cons:,Cons:,Good battery Life,Poor battery life
Battery,OK,OK,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,Good,Good,Good battery Life,Poor battery life
Battery,Cons:,Cons:,Good battery Life,Poor battery life
Battery,2600mAh,2600mAh,Good battery Life,Poor battery life
Battery,2600mAh,2600mAh,Good battery Life,Poor battery life
Battery,2600mAh,2600mAh,Good battery Life,Poor battery life
Battery,Cons:,Cons:,Good battery Life,Poor battery life
Battery,Cons:,Cons:,Good battery Life,Poor battery life
Battery,Cons:,Cons:,Good battery Life,Poor battery life
Battery,Good,Good,Good battery Life,Poor battery life
Battery,Good,Good,Good battery Life,Poor battery life
Battery,Cons:,Cons:,Good battery Life,Poor battery life
Battery,Bad,Bad,Good battery Life,Poor battery life
Battery,flaw,flaw,Good battery Life,Poor battery life
Battery,flaw,flaw,Good battery Life,Poor battery life
Battery,best,best,Good battery Life,Poor battery life
Battery,long,long,Good battery Life,Poor battery life
Battery,Cons: ,Cons: ,Good battery Life,Poor battery life
Battery,Good,Good,Good battery Life,Poor battery life
Battery,Poor,Poor,Good battery Life,Poor battery life
Battery,probs,probs,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,amazing,amazing,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,high,high,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,Awsome,Awsome,Good battery Life,Poor battery life
battery,remove,remove,Battery is removable,Non removable battery
battery,awesome,awesome,Good battery Life,Poor battery life
battery,less,less,Good battery Life,Poor battery life
battery,awesome,awesome,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,low,low,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,Long,Long,Good battery Life,Poor battery life
battery,great,great,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,amazing,amazing,Good battery Life,Poor battery life
battery,days,days,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,happy,happy,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,low,low,Good battery Life,Poor battery life
battery,drain,drain,No battery draining problem,Battery drains heavily
battery,drain,drain,No battery draining problem,Battery drains heavily
battery,good,good,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,travel,travel,Good battery Life,Poor battery life
battery,excellent,excellent,Good battery Life,Poor battery life
battery,heats,heats,No heating issues,Battery gets overheated
battery,long,long,Good battery Life,Poor battery life
battery,better,better,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,not,not,Good battery Life,Poor battery life
battery,ten,ten,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,worst,worst,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,excellent,excellent,Good battery Life,Poor battery life
battery,1430,1430,Good battery Life,Poor battery life
battery,amazing,amazing,Good battery Life,Poor battery life
battery,heated,heated,No heating issues,Battery gets overheated
battery,high,high,Good battery Life,Poor battery life
battery,pros,pros,Good battery Life,Poor battery life
battery,issue,issue,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,con,con,Good battery Life,Poor battery life
battery,excellent,excellent,Good battery Life,Poor battery life
battery,concern,concern,Good battery Life,Poor battery life
battery,1430,1430,Good battery Life,Poor battery life
battery,2000,2000,Good battery Life,Poor battery life
battery,awful,awful,Good battery Life,Poor battery life
battery,nice,nice,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,average,average,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,decent,decent,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,7,7,Good battery Life,Poor battery life
battery,replaceable ,replaceable ,Battery is removable,Non removable battery
battery,nice,nice,Good battery Life,Poor battery life
battery,Cons,Cons,Good battery Life,Poor battery life
battery,low,low,Good battery Life,Poor battery life
battery,nice,nice,Good battery Life,Poor battery life
battery,reasonable ,reasonable ,Good battery Life,Poor battery life
battery,issue,issue,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,pros,pros,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,decent,decent,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,improve,improve,Good battery Life,Poor battery life
battery,decent,decent,Good battery Life,Poor battery life
battery,constraint,constraint,Good battery Life,Poor battery life
battery,drain,drain,No battery draining problem,Battery drains heavily
battery,awesome,awesome,Good battery Life,Poor battery life
battery,love,love,Good battery Life,Poor battery life
battery,better,better,Good battery Life,Poor battery life
battery,nominal,nominal,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,powerful,powerful,Good battery Life,Poor battery life
battery,problem,problem,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,saves,saves,Good battery Life,Poor battery life
battery,best,best,Good battery Life,Poor battery life
battery,powerful,powerful,Good battery Life,Poor battery life
battery,modelong,modelong,Good battery Life,Poor battery life
battery,superb,superb,Good battery Life,Poor battery life
battery,drawback,drawback,Good battery Life,Poor battery life
battery,superb,superb,Good battery Life,Poor battery life
battery,problem,problem,Good battery Life,Poor battery life
battery,god,god,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,great,great,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,adequate,adequate,Good battery Life,Poor battery life
battery,adequate,adequate,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,low,low,Good battery Life,Poor battery life
battery,super,super,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,negative,negative,Good battery Life,Poor battery life
battery,ignore,ignore,Good battery Life,Poor battery life
battery,drawback,drawback,Good battery Life,Poor battery life
battery,problem,problem,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,moderate,moderate,Good battery Life,Poor battery life
battery,con,con,Good battery Life,Poor battery life
battery,weak,weak,Good battery Life,Poor battery life
battery,drawback,drawback,Good battery Life,Poor battery life
battery,bad,bad,Good battery Life,Poor battery life
battery,average,average,Good battery Life,Poor battery life
battery,nice,nice,Good battery Life,Poor battery life
battery,problems,problems,Good battery Life,Poor battery life
battery,long,long,Good battery Life,Poor battery life
battery,replacement,replacement,Battery is removable,Non removable battery
battery,concern,concern,Good battery Life,Poor battery life
battery,satisfied,satisfied,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,draining,draining,No battery draining problem,Battery drains heavily
battery,good,good,Good battery Life,Poor battery life
battery,poor,poor,Good battery Life,Poor battery life
battery,weak,weak,Good battery Life,Poor battery life
battery,cons,cons,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,average,average,Good battery Life,Poor battery life
battery,average,average,Good battery Life,Poor battery life
battery,good,good,Good battery Life,Poor battery life
battery,needs,needs,Good battery Life,Poor battery life
Battery,improved,improved,Good battery Life,Poor battery life
Battery,two,two,Good battery Life,Poor battery life
Battery,2070mAH,2070mAH,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,excellent,excellent,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,excellent,excellent,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,decent,decent,Good battery Life,Poor battery life
Battery,short,short,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,issue,issue,Good battery Life,Poor battery life
Battery,Drain,Drain,No battery draining problem,Battery drains heavily
Battery,fast,fast,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,bad,bad,Good battery Life,Poor battery life
Battery,Runs,Runs,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,perfect,perfect,Good battery Life,Poor battery life
Battery,day,day,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,Drain,Drain,No battery draining problem,Battery drains heavily
Battery,quickly,quickly,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,Drains,Drains,No battery draining problem,Battery drains heavily
Battery,faster,faster,Good battery Life,Poor battery life
Battery,pathetic,pathetic,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,mind,mind,Good battery Life,Poor battery life
Battery,Poor,Poor,Good battery Life,Poor battery life
Battery,Drains,Drains,No battery draining problem,Battery drains heavily
Battery,faster,faster,Good battery Life,Poor battery life
Battery,less,less,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,poor,poor,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,Larger,Larger,Good battery Life,Poor battery life
Battery,Efficient,Efficient,Good battery Life,Poor battery life
Battery,Awful,Awful,Good battery Life,Poor battery life
Battery,good,good,Good battery Life,Poor battery life
Battery,Poor,Poor,Good battery Life,Poor battery life
Battery,Poor,Poor,Good battery Life,Poor battery life
Battery,bad,bad,Good battery Life,Poor battery life
Battery,Well,Well,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,Poor,Poor,Good battery Life,Poor battery life
Battery,not,not,Good battery Life,Poor battery life
Battery,Down,Down,Good battery Life,Poor battery life
Battery,ok,ok,Good battery Life,Poor battery life
Battery,Charging,Charging,Quick charging,Charging issues
Battery,fast,fast,Good battery Life,Poor battery life
